"cellID","usdyav","usdyav_pr","cellArea","parks","usdyav_est"
93,0,0,16237500,0,0.38248265498065
94,0,0,16237500,0,0.38248265498065
95,74.5,7.701,16237500,0,0.38248265498065
96,1.125,0.116,16237500,0,0.38248265498065
97,3.125,0.323,16237500,16237500,1.05119433215987
98,0.75,0.078,16237500,6595442.10390467,0.622775561399682
99,0.5,0.052,16237500,0,0.38248265498065
100,0.125,0.013,16237500,0,0.38248265498065
101,0,0,16237500,0,0.38248265498065
102,0,0,16237500,0,0.38248265498065
103,0,0,16237500,0,0.38248265498065
104,0,0,16237500,0,0.38248265498065
105,0,0,16237500,0,0.38248265498065
106,0.125,0.013,16237500,0,0.38248265498065
107,13.5,1.396,16237500,0,0.38248265498065
108,1.875,0.194,16237500,0,0.38248265498065
109,0.125,0.013,16237500,585977.48360951,0.402307481385487
110,1.375,0.142,16237500,8510338.50033285,0.700064931023859
111,0.125,0.013,16237500,1303824.27334747,0.426981586070206
112,0.75,0.078,16237500,0,0.38248265498065
113,0.25,0.026,16237500,0,0.38248265498065
114,0,0,16237500,0,0.38248265498065
115,0,0,16237500,0,0.38248265498065
116,0,0,16237500,0,0.38248265498065
117,0,0,16237500,0,0.38248265498065
118,0,0,16237500,0,0.38248265498065
119,1.5,0.155,16237500,4249794.19292887,0.532871958087761
120,2.25,0.233,16237500,0,0.38248265498065
121,0.75,0.078,16237500,0,0.38248265498065
122,1.375,0.142,16237500,3447141.20528098,0.503266015400575
123,0.125,0.013,16237500,0,0.38248265498065
124,0.25,0.026,16237500,96301.1378807,0.385721369331896
125,2.125,0.22,16237500,0,0.38248265498065
126,0.125,0.013,16237500,0,0.38248265498065
127,0,0,16237500,0,0.38248265498065
128,0,0,16237500,0,0.38248265498065
129,0,0,16237500,0,0.38248265498065
130,0,0,16237500,0,0.38248265498065
131,0.125,0.013,16237500,0,0.38248265498065
132,4.875,0.504,16237500,4603828.27031808,0.546115178053686
133,8.875,0.917,16237500,3200138.93062013,0.494270883904435
134,0.125,0.013,16237500,0,0.38248265498065
135,0.375,0.039,16237500,0,0.38248265498065
136,0.625,0.065,16237500,0,0.38248265498065
137,0.125,0.013,16237500,0,0.38248265498065
138,0.375,0.039,16237500,0,0.38248265498065
139,1.125,0.116,16237500,0,0.38248265498065
140,0,0,16237500,0,0.38248265498065
141,0,0,16237500,0,0.38248265498065
142,0,0,16237500,0,0.38248265498065
143,0,0,16237500,0,0.38248265498065
144,0.125,0.013,16237500,0,0.38248265498065
145,0,0,16237500,0,0.38248265498065
146,0.375,0.039,16237500,1352323.21903092,0.428664182297227
147,20.375,2.106,16237500,15783721.3953122,1.02870212440419
148,0.875,0.09,16237500,0,0.38248265498065
149,0.125,0.013,16237500,0,0.38248265498065
150,0.125,0.013,16237500,0,0.38248265498065
151,0,0,16237500,0,0.38248265498065
152,0.625,0.065,16237500,0,0.38248265498065
153,0.375,0.039,16237500,0,0.38248265498065
154,0.125,0.013,16237500,0,0.38248265498065
155,0,0,16237500,0,0.38248265498065
156,0.25,0.026,16237500,0,0.38248265498065
157,0.125,0.013,16241250,0,0.38248265498065
158,0,0,16241250,0,0.38248265498065
159,0,0,16241250,0,0.38248265498065
160,0.375,0.039,16241250,318829.2560403,0.393234289670052
161,39.875,4.122,16241250,16190747.115073,1.04886548016029
162,1.375,0.142,16241250,2602966.39985781,0.472745275081901
163,0.125,0.013,16241250,0,0.38248265498065
164,0.5,0.052,16241250,0,0.38248265498065
165,0.125,0.013,16241250,0,0.38248265498065
166,0,0,16241250,0,0.38248265498065
167,0.125,0.013,16241250,0,0.38248265498065
168,0.25,0.026,16241250,0,0.38248265498065
169,0.25,0.026,16241250,0,0.38248265498065
170,0.125,0.013,16241250,0,0.38248265498065
171,0.5,0.052,16241250,0,0.38248265498065
172,0,0,16241250,0,0.38248265498065
173,0,0,16241250,0,0.38248265498065
174,0.25,0.026,16241250,0,0.38248265498065
175,2.75,0.284,16241250,2415898.30725615,0.466066235273008
176,51.875,5.362,16241250,14966728.3907561,0.988826601038737
177,2,0.207,16241250,3160438.78230602,0.492830144824798
178,7.125,0.737,16241250,3584438.91427215,0.508289407488786
179,0,0,16241250,0,0.38248265498065
180,0.25,0.026,16241250,0,0.38248265498065
181,0,0,16241250,0,0.38248265498065
182,0,0,16241250,0,0.38248265498065
183,0,0,16241250,0,0.38248265498065
184,0.125,0.013,16241250,0,0.38248265498065
185,0,0,16241250,0,0.38248265498065
186,0,0,16241250,0,0.38248265498065
187,0,0,16237500,0,0.38248265498065
188,0,0,16237500,0,0.38248265498065
189,0.125,0.013,16237500,0,0.38248265498065
